D’a;Ene;Feb;Mar;Abr;May;Jun;Jul;Ago;Sep;Oct;Nov;Dic
1;26.348,83;26.316,51;26.396,79;26.473,65;26.564,95;26.632,70;26.665,98;26.593,89;;;;
2;26.349,68;26.314,81;26.401,49;26.475,35;26.568,49;26.634,42;26.666,87;26.590,45;;;;
3;26.350,53;26.313,11;26.406,20;26.477,06;26.572,03;26.636,13;26.667,76;26.587,01;;;;
4;26.351,38;26.311,41;26.410,90;26.478,76;26.575,56;26.637,85;26.668,64;26.583,58;;;;
5;26.352,23;26.309,71;26.415,61;26.480,47;26.579,10;26.639,57;26.669,53;26.580,14;;;;
6;26.353,08;26.308,02;26.420,31;26.482,18;26.582,64;26.641,28;26.670,42;26.576,70;;;;
7;26.353,93;26.306,32;26.425,02;26.483,88;26.586,17;26.643,00;26.671,31;26.573,27;;;;
8;26.354,78;26.304,62;26.429,73;26.485,59;26.589,71;26.644,72;26.672,20;26.569,83;;;;
9;26.355,63;26.302,92;26.434,43;26.487,30;26.593,25;26.646,44;26.673,09;26.566,40;;;;
10;26.353,93;26.307,61;26.436,13;26.490,82;26.594,96;26.647,33;26.669,64;;;;;
11;26.352,23;26.312,29;26.437,84;26.494,35;26.596,68;26.648,22;26.666,19;;;;;
12;26.350,52;26.316,98;26.439,54;26.497,88;26.598,39;26.649,10;26.662,75;;;;;
13;26.348,82;26.321,67;26.441,25;26.501,40;26.600,11;26.649,99;26.659,30;;;;;
14;26.347,12;26.326,36;26.442,95;26.504,93;26.601,82;26.650,88;26.655,85;;;;;
15;26.345,42;26.331,05;26.444,65;26.508,46;26.603,54;26.651,77;26.652,41;;;;;
16;26.343,72;26.335,74;26.446,36;26.511,98;26.605,25;26.652,66;26.648,96;;;;;
17;26.342,02;26.340,43;26.448,06;26.515,51;26.606,97;26.653,54;26.645,52;;;;;
18;26.340,32;26.345,12;26.449,77;26.519,04;26.608,68;26.654,43;26.642,07;;;;;
19;26.338,61;26.349,81;26.451,47;26.522,57;26.610,40;26.655,32;26.638,63;;;;;
20;26.336,91;26.354,51;26.453,18;26.526,10;26.612,11;26.656,21;26.635,18;;;;;
21;26.335,21;26.359,20;26.454,88;26.529,63;26.613,83;26.657,10;26.631,74;;;;;
22;26.333,51;26.363,90;26.456,59;26.533,16;26.615,54;26.657,98;26.628,30;;;;;
23;26.331,81;26.368,60;26.458,29;26.536,69;26.617,26;26.658,87;26.624,85;;;;;
24;26.330,11;26.373,29;26.460,00;26.540,22;26.618,97;26.659,76;26.621,41;;;;;
25;26.328,41;26.377,99;26.461,70;26.543,75;26.620,69;26.660,65;26.617,97;;;;;
26;26.326,71;26.382,69;26.463,41;26.547,29;26.622,40;26.661,54;26.614,53;;;;;
27;26.325,01;26.387,39;26.465,12;26.550,82;26.624,12;26.662,42;26.611,09;;;;;
28;26.323,31;26.392,09;26.466,82;26.554,35;26.625,84;26.663,31;26.607,65;;;;;
29;26.321,61;;26.468,53;26.557,89;26.627,55;26.664,20;26.604,21;;;;;
30;26.319,91;;26.470,23;26.561,42;26.629,27;26.665,09;26.600,77;;;;;
31;26.318,21;;26.471,94;;26.630,98;;26.597,33;;;;;
